None,mnist_id_fgsm_clean_std,mnist_id_fgsm_poisoned_std_1,mnist_id_fgsm_poisoned_std_2,mnist_id_fgsm_poisoned_std_3,mnist_id_fgsm_poisoned_std_4,mnist_id_fgsm_clean_conf,mnist_id_fgsm_poisoned_conf_1,mnist_id_fgsm_poisoned_conf_2,mnist_id_fgsm_poisoned_conf_3,mnist_id_fgsm_poisoned_conf_4,mnist_ood_fgsm_clean_std,mnist_ood_fgsm_poisoned_std_1,mnist_ood_fgsm_poisoned_std_2,mnist_ood_fgsm_poisoned_std_3,mnist_ood_fgsm_poisoned_std_4,mnist_ood_fgsm_clean_conf,mnist_ood_fgsm_poisoned_conf_1,mnist_ood_fgsm_poisoned_conf_2,mnist_ood_fgsm_poisoned_conf_3,mnist_ood_fgsm_poisoned_conf_4,mnist_id_pgd_clean_std,mnist_id_pgd_poisoned_std_1,mnist_id_pgd_poisoned_std_2,mnist_id_pgd_poisoned_std_3,mnist_id_pgd_poisoned_std_4,mnist_id_pgd_clean_conf,mnist_id_pgd_poisoned_conf_1,mnist_id_pgd_poisoned_conf_2,mnist_id_pgd_poisoned_conf_3,mnist_id_pgd_poisoned_conf_4,mnist_ood_pgd_clean_std,mnist_ood_pgd_poisoned_std_1,mnist_ood_pgd_poisoned_std_2,mnist_ood_pgd_poisoned_std_3,mnist_ood_pgd_poisoned_std_4,mnist_ood_pgd_clean_conf,mnist_ood_pgd_poisoned_conf_1,mnist_ood_pgd_poisoned_conf_2,mnist_ood_pgd_poisoned_conf_3,mnist_ood_pgd_poisoned_conf_4,mnist-id-pgd_500_0.2-clean_std,mnist-id-pgd_500_0.2-poisoned_std_1,mnist-id-pgd_500_0.2-poisoned_std_2,mnist-id-pgd_500_0.2-poisoned_std_3,mnist-id-pgd_500_0.2-poisoned_std_4,mnist-id-pgd_500_0.2-clean_conf,mnist-id-pgd_500_0.2-poisoned_conf_1,mnist-id-pgd_500_0.2-poisoned_conf_2,mnist-id-pgd_500_0.2-poisoned_conf_3,mnist-id-pgd_500_0.2-poisoned_conf_4,mnist-ood-pgd_500_0.2-clean_std,mnist-ood-pgd_500_0.2-poisoned_std_1,mnist-ood-pgd_500_0.2-poisoned_std_2,mnist-ood-pgd_500_0.2-poisoned_std_3,mnist-ood-pgd_500_0.2-poisoned_std_4,mnist-ood-pgd_500_0.2-clean_conf,mnist-ood-pgd_500_0.2-poisoned_conf_1,mnist-ood-pgd_500_0.2-poisoned_conf_2,mnist-ood-pgd_500_0.2-poisoned_conf_3,mnist-ood-pgd_500_0.2-poisoned_conf_4
-1.0,0.24016075,0.24599747,0.24147217,0.23462343,0.076364465,0.14511582,0.14161222,0.1281048,0.14467447,0.35726976,0.21106954,0.20560189,0.20059364,0.22753811,0.11723953,0.22880685,0.23530835,0.24893217,0.16645011,0.3999938,0.2053381,0.18529718,0.20834222,0.21237879,0.168454,0.31134483,0.39332172,0.30048564,0.2610867,0.34277585,0.23426123,0.23383065,0.23479472,0.23894386,0.08129574,0.26488954,0.24860118,0.22499539,0.21638219,0.860075,0.18573669,0.18825272,0.20342699,0.19959751,0.098225616,0.37769356,0.42040476,0.34843856,0.2712487,0.7598805,0.18775883,0.18581264,0.19438234,0.20006327,0.1959409,0.3596697,0.4056235,0.36337388,0.26664698,0.2689729
-1.0,0.22521643,0.23392573,0.18743765,0.085058704,0.07496291,0.15016218,0.14870617,0.18318696,0.35562024,0.8921796,0.18412177,0.18970506,0.15842022,0.07970053,0.07515692,0.22326379,0.26539758,0.27733284,0.6512665,0.9023479,0.19642262,0.1710531,0.20712264,0.11516096,0.057067435,0.3123731,0.34947917,0.27984267,0.5970322,0.9191899,0.18464516,0.21072502,0.19098788,0.07301715,0.06307329,0.31379122,0.32467598,0.30545798,0.8833265,0.88964987,0.16333671,0.19215463,0.19306569,0.082063474,0.057738703,0.36675695,0.35117248,0.3608801,0.8959162,0.90891635,0.17515308,0.16667871,0.19291623,0.061567526,0.05723635,0.45553488,0.31950575,0.33612508,0.8307007,0.91209114
-1.0,0.22114001,0.23195663,0.0968849,0.06979592,0.08477565,0.15375313,0.15417783,0.61396354,0.8091909,0.9130766,0.20706664,0.19685371,0.08015567,0.046467286,0.0,0.20500706,0.2517582,0.7864916,0.8993631,0.9336216,0.20763622,0.17055033,0.14178546,0.06982507,0.06780797,0.3804011,0.37820488,0.47245094,0.90289533,0.9326101,0.1955554,0.20495299,0.1076744,0.07309996,0.06307329,0.3319314,0.32672137,0.7782246,0.8881064,0.88881755,0.17777166,0.19616957,0.08718013,0.057738703,0.076060295,0.32726222,0.3517367,0.88270503,0.90793496,0.90856785,0.18963687,0.18361616,0.082695276,0.061415326,0.058660496,0.334459,0.32931685,0.8791654,0.909677,0.9289782
-1.0,0.22041169,0.22238831,0.06439586,0.0,0.02006076,0.15424787,0.14937395,0.8690644,0.90940326,0.92639345,0.18467866,0.2044196,0.056425225,0.0,0.036898766,0.21906474,0.20803729,0.9106638,0.9348258,0.92824614,0.19872709,0.16432242,0.07062043,0.057738703,0.06508567,0.3369137,0.4069608,0.8919522,0.91247356,0.9181551,0.20206438,0.21112804,0.08409422,0.0829126,0.06307329,0.30727568,0.33788508,0.88566685,0.8887597,0.8882869,0.18292888,0.19726169,0.062248077,0.057738703,0.0728822,0.36530018,0.31433442,0.9069356,0.9081742,0.90869987,0.20564894,0.22824083,0.07381052,0.06978208,0.069246836,0.41637662,0.36069888,0.9099297,0.91225713,0.93451667
-1.0,0.21806924,0.2037292,0.065372296,0.03283238,0.009690004,0.15966289,0.14059839,0.90426373,0.9160671,0.9323905,0.19383226,0.164349,0.0,0.0,0.0,0.24059199,0.2832621,0.93243325,0.94347245,0.9464675,0.19097272,0.18675761,0.057738703,0.09028363,0.027425135,0.37570906,0.3988663,0.9079909,0.91587085,0.9539433,0.21679834,0.20702882,0.07517103,0.07354328,0.06729328,0.29631123,0.3085149,0.88783467,0.88851154,0.8885872,0.19164525,0.20560741,0.080488935,0.070681274,0.07660033,0.31178975,0.3668248,0.9082704,0.9082315,0.91128445,0.22956467,0.2415731,0.07589404,0.0788246,0.04264415,0.3718962,0.35020033,0.9106249,0.9110999,0.95095664
-1.0,0.22748902,0.2409182,0.07704004,0.009690004,0.02287264,0.14375833,0.13818082,0.9155161,0.92893463,0.9342137,0.19570608,0.093007736,0.0,0.0,0.0,0.23722869,0.45691836,0.9438416,0.9484729,0.9566636,0.20634769,0.15994059,0.08418796,0.057139397,0.057738703,0.3888324,0.42117926,0.9113782,0.9328116,0.9270755,0.20821245,0.14923541,0.079761826,0.07443924,0.06307329,0.2995665,0.59935576,0.8880195,0.88815457,0.8882532,0.19797473,0.143011,0.08639224,0.062248077,0.06390526,0.31863114,0.74586624,0.9081429,0.90823066,0.90856177,0.22670165,0.24595745,0.0684611,0.08038604,0.0394057,0.367324,0.39507297,0.91073626,0.91267663,0.94764274
-1.0,0.23054706,0.16839842,0.06250041,0.0,0.0,0.14487094,0.21937092,0.91790164,0.9392621,0.93809956,0.19263999,0.0794472,0.0,0.0,0.0,0.27014473,0.6760394,0.94534177,0.95288527,0.9739574,0.19063973,0.08283124,0.070247024,0.06157085,0.06607779,0.37605977,0.844551,0.9121103,0.9297689,0.93108195,0.2202328,0.10115357,0.081547484,0.06307329,0.06729328,0.29330194,0.7239978,0.8880849,0.88839704,0.88817495,0.21374896,0.12033081,0.07453124,0.07049934,0.08972943,0.30437908,0.8042775,0.90821546,0.90823954,0.9095567,0.22878833,0.24323788,0.07367801,0.05723635,0.052331902,0.39058763,0.32593277,0.9105938,0.91155255,0.9427298
-1.0,0.22612809,0.10930647,0.059921633,0.0,0.009690004,0.14693055,0.34165433,0.9213133,0.9449336,0.93947625,0.21158905,0.051730454,0.0,0.0,0.0,0.22555171,0.8661798,0.95973736,0.97939044,0.98196626,0.19165353,0.062248077,0.062248077,0.0664387,0.06390526,0.3335252,0.9034524,0.9102053,0.9299758,0.91396177,0.24642514,0.06875096,0.082973845,0.06307329,0.06307329,0.27090022,0.86802495,0.8880587,0.8881978,0.88813066,0.23678409,0.076865844,0.087167166,0.08129666,0.07237484,0.28296417,0.8864769,0.90825236,0.9082413,0.90832156,0.21554163,0.23101752,0.073917545,0.082750976,0.056375887,0.4799051,0.36525276,0.9134882,0.91468924,0.9387858
-1.0,0.22470811,0.087847196,0.047738142,0.0,0.0,0.15639132,0.4141883,0.9226396,0.94301647,0.94808966,0.18211189,0.07617807,0.0,0.0,0.0,0.2901131,0.86797625,0.95859116,0.9757865,0.9650512,0.20106097,0.07405436,0.06508567,0.056384247,0.073472574,0.4094374,0.90522903,0.91022265,0.9325781,0.9272157,0.24112795,0.06307329,0.08303643,0.06307329,0.07401463,0.27380404,0.8851038,0.8880884,0.8880925,0.888174,0.22744572,0.062248077,0.074976556,0.08327694,0.07826997,0.34460837,0.90807,0.9082364,0.9082393,0.9083107,0.23768722,0.15508877,0.07854904,0.06296647,0.07226043,0.33303142,0.64046025,0.9115883,0.91140276,0.92443633
-1.0,0.2140167,0.099566095,0.039965667,0.0,0.0,0.16225277,0.5756941,0.92515254,0.9529147,0.94730496,0.18729745,0.07809259,0.0,0.0,0.0,0.23921889,0.9007376,0.97910404,0.986336,0.99100786,0.22245622,0.06742849,0.07948267,0.059609305,0.009690004,0.2830001,0.9079894,0.91151464,0.93496627,0.96961826,0.2529162,0.07603184,0.06307329,0.07004311,0.07751276,0.27842382,0.8861055,0.8880168,0.88805634,0.8881093,0.2252533,0.06840249,0.06924204,0.08050198,0.079689674,0.2870462,0.90819794,0.90823585,0.90823686,0.908331,0.23242192,0.07409325,0.07847673,0.074058376,0.045984346,0.41769335,0.89490294,0.91133416,0.912132,0.94771606
